Paths of Glory (1957) ,8.4,1h 28min,25 December 1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
WALL·E (2008) ,8.4,1h 38min,29 August 2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
The Shining (1980) ,8.4,2h 26min,4 October 2017,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Avengers: Infinity War (2018) ,8.4,2h 29min,27 April 2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Sunset Blvd. (1950) ,8.4,1h 50min,29 September 1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Witness for the Prosecution (1957) ,8.4,1h 56min,6 February 1958,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Oldeuboi (2003) ,8.4,1h 41min,4 October 2017,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Mononoke-hime (1997) ,8.4,2h 14min,2 March 2020,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Spider-Man: Into the Spider-Verse (2018) ,8.4,1h 57min,14 December 2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964) ,8.4,1h 35min,29 January 1964,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
The Dark Knight Rises (2012) ,8.4,2h 44min,20 July 2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Once Upon a Time in America (1984) ,8.4,3h 49min,1 June 1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life."
Aliens (1986) ,8.3,2h 17min,11 July 1987,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Kimi no na wa. (2016) ,8.4,1h 46min,26 August 2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Coco (2017) ,8.4,1h 45min,24 November 2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
Avengers: Endgame (2019) ,8.4,3h 1min,26 April 2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
American Beauty (1999) ,8.3,2h 2min,1 April 2020,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
Braveheart (1995) ,8.3,2h 58min,22 June 1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Das Boot (1981) ,8.3,2h 29min,17 September 1981,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
3 Idiots (2009) ,8.4,2h 50min,25 December 2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
